99	3	1	6
97	99	6	7
43	110	109	48
42	47	110	43
46	42	44	45
41	44	42	43
49	105	55	50
105	65	66	55
44	41	102	51
43	48	102	41
42	46	53	47
45	58	54	46
51	52	45	44
52	59	58	45
54	61	53	46
53	63	62	47
47	62	101	110
110	105	49	109
102	107	56	51
109	104	60	48
48	60	107	102
50	103	64	49
49	64	104	109
55	67	103	50
110	101	65	105
51	57	108	52
56	69	57	51
108	68	59	52
61	70	63	53
58	79	78	54
78	77	61	54
66	71	67	55
107	88	86	56
56	86	85	69
108	73	72	68
69	75	74	57
57	74	73	108
68	81	80	59
59	80	79	58
104	91	89	60
60	89	88	107
61	77	76	70
62	90	92	101
70	87	106	63
63	106	90	62
103	95	93	64
64	93	91	104
65	94	96	66
101	92	94	65
66	96	98	71
71	99	97	67
67	97	95	103
72	82	81	68
85	84	75	69
76	83	87	70
98	100	99	71
72	21	22	82
73	20	21	72
74	19	20	73
75	18	19	74
84	17	18	75
76	30	31	83
77	29	30	76
78	28	29	77
79	27	28	78
80	26	27	79
81	25	26	80
82	24	25	81
22	16	24	82
83	32	33	87
31	23	32	83
84	15	5	17
85	14	15	84
86	13	14	85
88	12	13	86
87	33	34	106
89	11	12	88
106	34	35	90
91	10	11	89
90	35	36	92
93	9	10	91
92	36	37	94
95	8	9	93
94	37	38	96
97	7	8	95
96	38	39	98
98	39	40	100
100	4	3	99
40	2	4	100
