0.1	0
3.06E-18	0.1
8.60E-02	5.10E-02
4.87E-02	8.73E-02
1.5	0
0.15535	0
0.21929	0
0.29693	0
0.39124	0
0.50641	0
0.64658	0
0.81244	0
0.98438	0
1.1563	0
1.3283	0
1.5	1.25
1.5	0.17857
1.5	0.35714
1.5	0.53571
1.5	0.71429
1.5	0.89286
1.5	1.0714
0	1.25
1.3333	1.25
1.1667	1.25
1	1.25
0.83333	1.25
0.66667	1.25
0.5	1.25
0.33333	1.25
0.16667	1.25
0	1.0856
0	0.92114
0	0.75792
0	0.60664
0	0.47697
0	0.37
0	0.28177
0	0.20944
0	0.15069
0.74067	0.52537
0.6218	0.64124
0.59379	0.5255
0.79859	0.62101
0.82621	0.74801
0.65001	0.77978
0.45667	0.63659
0.63365	0.39523
0.38449	0.31063
0.28968	0.24506
0.96273	0.52674
0.99241	0.72189
0.48135	0.78409
0.66319	0.92908
0.24485	0.26996
0.98856	0.33882
1.1501	0.53037
0.83141	0.91364
0.99699	0.90039
0.67813	0.27105
0.49359	0.93773
0.30432	0.64074
0.31826	0.78994
0.41409	0.21038
0.23449	0.40565
0.18534	0.30208
0.21776	0.17572
1.1628	0.89223
1.154	0.35126
0.32637	0.93905
0.14894	0.19212
1.33	0.89014
1.3281	0.70971
1.3266	0.5293
1.327	0.35333
0.33083	1.0924
0.49879	1.0914
0.66684	1.0876
0.83397	1.0817
0.99978	1.0757
1.1657	1.0729
1.3319	1.0694
0.16447	1.0908
1.3283	0.17654
1.1578	0.17285
0.98905	0.16466
0.16113	0.93511
0.83467	0.15237
0.68432	0.13679
0.15071	0.64267
0.54592	0.12307
0.13604	0.51176
0.42272	0.10858
0.11924	0.40514
0.31031	9.28E-02
9.96E-02	0.30621
0.21984	9.00E-02
8.25E-02	0.21091
0.1341	8.75E-02
6.57E-02	0.12978
0.27551	0.51072
0.78778	0.43707
0.29582	0.17262
0.54033	0.2438
0.32667	0.37341
0.15748	0.78381
0.82693	0.30619
1.1565	0.70908
0.49661	0.36326
0.43099	0.48172
